pipeline,id,category,predicted_category,category_correct,f1,rouge_l,latency_s
gemini_only,RQ-001,legal_rag,,,0.44230769230769235,0.45492866407263294,4.112710380002682
gemini_only,RQ-002,legal_rag,,,0.5655172413793104,0.5708937763219466,4.375178078000317
gemini_only,RQ-003,legal_rag,,,0.6105263157894736,0.45506216696269985,3.1335479490007856
gemini_only,RQ-004,legal_rag,,,0.3866666666666666,0.38598546988516524,3.0886729639969417
gemini_only,RQ-005,legal_rag,,,0.6356589147286821,0.5082009893256964,2.902496800998051
gemini_only,RQ-006,legal_rag,,,0.48484848484848486,0.4958288770053476,3.173763640996185
gemini_only,RQ-007,legal_rag,,,0.37719298245614036,0.2933162365763744,3.74832165800035
gemini_only,RQ-008,legal_rag,,,0.4780876494023905,0.43633762517882685,3.6349964100008947
gemini_only,RQ-009,legal_rag,,,0.5,0.41077441077441085,2.8603761210033554
gemini_only,RQ-010,legal_rag,,,0.3241590214067278,0.23474816072439164,6.317688868002733
gemini_only,RQ-011,legal_rag,,,0.18333333333333332,0.10571923743500866,2.9673498070042115
gemini_only,RQ-012,legal_rag,,,0.3943661971830986,0.29836145756908783,3.253465572001005
gemini_only,RQ-013,legal_rag,,,0.09333333333333332,0.07356488181379643,3.3375466580037028
gemini_only,RQ-014,legal_rag,,,0.25757575757575757,0.26250672404518555,3.0419994600015343
gemini_only,RQ-015,legal_rag,,,0.42201834862385323,0.32993954820235444,2.9119856459947187
gemini_only,RQ-016,legal_rag,,,0.4130434782608695,0.34312499999999996,3.5003329910032335
gemini_only,RQ-017,legal_rag,,,0.32411067193675885,0.24764390314629547,3.5726975930010667
gemini_only,RQ-018,legal_rag,,,0.29545454545454547,0.21974994702267428,3.6783744159984053
gemini_only,RQ-019,legal_rag,,,0.20895522388059698,0.15307402760351319,3.910239155004092
gemini_only,RQ-020,legal_rag,,,0.5846153846153846,0.34322250639386187,2.718489001999842
gemini_only,RQ-021,out_of_scope,,,0.27397260273972607,0.28598218471636194,22.234422525005357
gemini_only,RQ-022,out_of_scope,,,0.4556962025316456,0.24281291463954002,2.835276239005907
gemini_only,RQ-023,chit_chat,,,0.5423728813559322,0.41054402692091974,2.7738759799976833
gemini_only,RQ-024,out_of_scope,,,0.0835820895522388,0.041938810587830874,4.10976102299901
gemini_only,RQ-025,out_of_scope,,,0.3111111111111111,0.2682055509755428,3.5781857809997746
gemini_only,RQ-026,legal_rag,,,0.39999999999999997,0.2652942881994781,3.315156118995219
gemini_only,RQ-027,legal_rag,,,0.46153846153846156,0.2817209528439475,3.24133704900305
gemini_only,RQ-028,legal_rag,,,0.5238095238095238,0.4131191950464395,2.9628175149991876
