id,category,f1_v51,f1_v6,delta_f1,lat_v51,lat_v6
RQ-001,simple_penalty,0.5607476635514018,0.2159090909090909,-0.3448385726423109,19.442693702992983,10.222593712009257
RQ-002,simple_penalty,0.2955974842767296,0.2911392405063291,-0.004458243770400494,12.88708286799374,5.611214140008087
RQ-003,simple_penalty,0.3252032520325203,0.23564954682779451,-0.0895537052047258,15.408520003999001,34.07268212699273
RQ-004,simple_penalty,0.6412213740458015,0.2122905027932961,-0.4289308712525054,12.706880417987122,2.76790141199308
RQ-005,simple_penalty,0.3248407643312102,0.34459459459459457,0.019753830263384398,6.505031606007833,40.39078244999109
RQ-006,multi_intent,0.29118773946360155,0.2540983606557377,-0.03708937880786384,6.192329331999645,5.22119962600118
RQ-007,multi_intent,0.22151898734177214,0.16574585635359115,-0.055773130988180986,19.8343065270019,7.841760829993291
RQ-008,multi_intent,0.3204747774480712,0.2398190045248869,-0.0806557729231843,16.594622478005476,19.114406588996644
RQ-009,multi_intent,0.43697478991596644,0.3564356435643564,-0.08053914635161002,8.183575217990438,17.607387462005136
RQ-010,multi_intent,0.1722488038277512,0.14970059880239522,-0.022548205025355983,7.363135728999623,14.926277289996506
RQ-011,cross_reference,0.30357142857142855,0.14342629482071712,-0.16014513375071143,7.453448977001244,26.1893666049873
RQ-012,cross_reference,0.13186813186813187,0.14457831325301204,0.01271018138488017,10.009876702999463,16.133062724999036
RQ-013,cross_reference,0.0,0.08178438661710037,0.08178438661710037,5.987861233996227,63.597466310005984
RQ-014,cross_reference,0.2619047619047619,0.3716814159292036,0.1097766540244417,9.47132975400018,7.472585098003037
RQ-015,cross_reference,0.35185185185185186,0.35185185185185186,0.0,32.38563063800393,13.993906596006127
RQ-016,procedure,0.40723981900452483,0.39473684210526316,-0.012502976899261664,11.360942037004861,22.037842466001166
RQ-017,procedure,0.20289855072463767,0.2040816326530612,0.001183081928423535,108.19332885199401,15.918897839001147
RQ-018,procedure,0.1197007481296758,0.10546139359698681,-0.014239354532688986,46.555500881004264,14.604159166992758
RQ-019,procedure,0.3169811320754717,0.3831775700934579,0.06619643801798619,110.25221065799997,6.5223485980095575
RQ-020,procedure,0.11529933481152993,0.11581291759465479,0.0005135827831248552,41.488454318998265,14.662560683995252
RQ-021,out_of_scope,0.6133333333333333,0.6133333333333333,0.0,2.267171920000692,0.861226180990343
RQ-022,out_of_scope,0.4109589041095891,0.4109589041095891,0.0,1.3724881200032542,1.2037371780024841
RQ-023,out_of_scope,0.39999999999999997,0.39999999999999997,0.0,7.647265289997449,10.72359815800155
RQ-024,out_of_scope,0.3544303797468354,0.3544303797468354,0.0,66.37977449099708,1.043034180009272
RQ-025,out_of_scope,0.25352112676056343,0.25352112676056343,0.0,1.4882106830045814,9.671615405997727
RQ-026,ambiguous_short,0.29723991507431,0.27213822894168466,-0.025101686132625367,11.025772025997867,19.36228702100925
RQ-027,ambiguous_short,0.5751633986928105,0.16574585635359115,-0.40941754233921934,5.380800764003652,15.008174262999091
RQ-028,ambiguous_short,0.38150289017341044,0.4036697247706422,0.022166834597231788,7.841724655008875,32.52019304900023
RQ-029,ambiguous_short,0.12145748987854249,0.3589743589743589,0.23751686909581643,18.331542845000513,33.70226446198649
RQ-030,ambiguous_short,0.15577889447236182,0.2763157894736842,0.12053689500132236,18.35901210999873,21.8118672290002
RQ-031,compound_action,0.40659340659340654,0.45774647887323944,0.0511530722798329,17.527987146997475,20.31509477600048
RQ-032,compound_action,0.41688654353562005,0.16129032258064518,-0.25559622095497486,31.556982031994266,3.747705442001461
RQ-033,compound_action,0.435374149659864,0.38283828382838286,-0.05253586583148112,11.782478348002769,10.692714422009885
RQ-034,compound_action,0.4039087947882736,0.27956989247311825,-0.12433890231515532,7.64953911799239,16.080059393003467
RQ-035,compound_action,0.2815057283142389,0.30905861456483125,0.027552886250592323,8.537253523987602,6.206391763000283
RQ-036,vehicle_binding,0.40707964601769914,0.5777777777777778,0.1706981317600787,9.261146592005389,12.516171034003492
RQ-037,vehicle_binding,0.18923933209647495,0.1851851851851852,-0.004054146911289747,39.947527315001935,7.278597048003576
RQ-038,vehicle_binding,0.2047244094488189,0.18604651162790697,-0.01867789782091192,161.55963751599484,6.261563513005967
RQ-039,vehicle_binding,0.32258064516129037,0.6857142857142857,0.36313364055299535,33.53508368099574,27.448735105994274
RQ-040,vehicle_binding,0.416289592760181,0.36607142857142855,-0.05021816418875247,36.211138947008294,18.2580897329899
