id,category,f1_v4,f1_v5,rouge_v4,rouge_v5,lat_v4,lat_v5,delta_f1
RQ-001,legal_rag,0.639344262295082,0.5607476635514018,0.6559139784946236,0.5406774295663184,8.578031601005932,19.442693702992983,-0.07859659874368019
RQ-002,legal_rag,0.7,0.2955974842767296,0.7347816734781675,0.31922316548435864,19.359828361994005,12.88708286799374,-0.40440251572327035
RQ-003,legal_rag,0.3183673469387755,0.3252032520325203,0.36237623762376237,0.3610015174506828,12.399133703002008,15.408520003999001,0.006835905093744821
RQ-004,legal_rag,0.6461538461538462,0.6412213740458015,0.6639235465887974,0.6112869198312236,4.651212508004392,12.706880417987122,-0.004932472108044705
RQ-005,legal_rag,0.31511254019292606,0.3248407643312102,0.26170897390060777,0.31703283723127806,5.732565780999721,6.505031606007833,0.009728224138284114
RQ-006,legal_rag,0.4020618556701031,0.29118773946360155,0.35018518518518527,0.27590106007067133,6.235150528998929,6.192329331999645,-0.11087411620650156
RQ-007,legal_rag,0.23003194888178913,0.22151898734177214,0.24067431850789095,0.18793695935537386,5.341766138997627,19.8343065270019,-0.008512961540016989
RQ-008,legal_rag,0.2314410480349345,0.3204747774480712,0.23066173448417596,0.32702407002188183,6.892070139001589,16.594622478005476,0.08903372941313667
RQ-009,legal_rag,0.42767295597484273,0.43697478991596644,0.3154226618705036,0.3538283062645012,7.486922174008214,8.183575217990438,0.009301833941123716
RQ-010,legal_rag,0.1575037147102526,0.1722488038277512,0.12210466113811837,0.13816957453321088,9.538880745996721,7.363135728999623,0.014745089117498611
RQ-011,legal_rag,0.26595744680851063,0.30357142857142855,0.15362262688880277,0.24310239117106072,4.722815520988661,7.453448977001244,0.037613981762917914
RQ-012,legal_rag,0.12955465587044535,0.13186813186813187,0.09994042299672326,0.12288064461977505,10.859663916999125,10.009876702999463,0.002313475997686526
RQ-013,legal_rag,0.12063492063492065,0.0,0.05162616370450973,0.0,19.09213949700643,5.987861233996227,-0.12063492063492065
RQ-014,legal_rag,0.3304347826086957,0.2619047619047619,0.2963862739143638,0.1585101775660459,6.929431999989902,9.47132975400018,-0.06853002070393377
RQ-015,legal_rag,0.39639639639639634,0.35185185185185186,0.4011901033510805,0.35214881334188575,7.501661722999415,32.38563063800393,-0.044544544544544484
RQ-016,legal_rag,0.4547803617571059,0.40723981900452483,0.4359164733178655,0.3865843621399177,17.779940606997116,11.360942037004861,-0.04754054275258107
RQ-017,legal_rag,0.16129032258064513,0.20289855072463767,0.16699850671976108,0.20257768640784377,26.007670306004,108.19332885199401,0.04160822814399254
RQ-018,legal_rag,0.14009661835748793,0.1197007481296758,0.13150248383166183,0.10025135344160865,6.0077702830021735,46.555500881004264,-0.02039587022781214
RQ-019,legal_rag,0.2738853503184713,0.3169811320754717,0.3078216989066443,0.3523527754296985,5.765607015986461,110.25221065799997,0.043095781757000406
RQ-020,legal_rag,0.24999999999999997,0.11529933481152993,0.2063424947145877,0.12089616544592849,38.30774790799478,41.488454318998265,-0.13470066518847004
RQ-021,out_of_scope,0.6133333333333333,0.6133333333333333,0.6426935409986259,0.6426935409986259,15.301638569013448,2.267171920000692,0.0
RQ-022,out_of_scope,0.4109589041095891,0.4109589041095891,0.2889625769777357,0.2889625769777357,1.3868786449893378,1.3724881200032542,0.0
RQ-023,chit_chat,0.39999999999999997,0.39999999999999997,0.3155716502845318,0.3155716502845318,3.284470913989935,7.647265289997449,0.0
RQ-024,out_of_scope,0.3544303797468354,0.3544303797468354,0.2359260850880963,0.2359260850880963,0.9491754379996564,66.37977449099708,0.0
RQ-025,out_of_scope,0.25352112676056343,0.25352112676056343,0.2393330063756743,0.2393330063756743,0.8851211550063454,1.4882106830045814,0.0
RQ-026,legal_rag,,0.29723991507431,,0.22878574777308952,,11.025772025997867,
RQ-027,legal_rag,,0.5751633986928105,,0.6010540788267644,,5.380800764003652,
RQ-028,legal_rag,,0.38150289017341044,,0.2790600956539821,,7.841724655008875,
RQ-029,legal_rag,,0.12145748987854249,,0.08025073518031266,,18.331542845000513,
RQ-030,legal_rag,,0.15577889447236182,,0.10457142857142857,,18.35901210999873,
RQ-031,legal_rag,,0.40659340659340654,,0.3167881753720163,,17.527987146997475,
RQ-032,legal_rag,,0.41688654353562005,,0.30639010324620963,,31.556982031994266,
RQ-033,legal_rag,,0.435374149659864,,0.3917838099854581,,11.782478348002769,
RQ-034,legal_rag,,0.4039087947882736,,0.3489376605183283,,7.64953911799239,
RQ-035,legal_rag,,0.2815057283142389,,0.17379970902036856,,8.537253523987602,
RQ-036,legal_rag,,0.40707964601769914,,0.36735340729001587,,9.261146592005389,
RQ-037,legal_rag,,0.18923933209647495,,0.14109483423284502,,39.947527315001935,
RQ-038,legal_rag,,0.2047244094488189,,0.17279165113678716,,161.55963751599484,
RQ-039,legal_rag,,0.32258064516129037,,0.2756024096385542,,33.53508368099574,
RQ-040,legal_rag,,0.416289592760181,,0.41869586533747344,,36.211138947008294,
