pipeline,id,f1,rouge_l,latency_s
gemini_only,RQ-001,0.44230769230769235,0.45492866407263294,7.071656434000033
gemini_only,RQ-002,0.5655172413793104,0.5708937763219466,6.2557947730001615
gemini_only,RQ-003,0.6206896551724138,0.38353293413173656,5.744890657000724
gemini_only,RQ-004,0.3866666666666666,0.38598546988516524,6.896715208000387
gemini_only,RQ-005,0.6356589147286821,0.5082009893256964,10.714724666999246
gemini_only,RQ-006,0.48484848484848486,0.4958288770053476,5.454045735999898
gemini_only,RQ-007,0.40740740740740744,0.3081326822697424,9.74476638699889
gemini_only,RQ-008,0.4513618677042801,0.42717086834733903,6.256984462001128
gemini_only,RQ-009,0.4835164835164835,0.39956331877729256,6.256417590000638
gemini_only,RQ-010,0.29608938547486036,0.22216441207075965,14.203243007999845
gemini_only,RQ-011,0.1818181818181818,0.10496128477201033,6.924516533999849
gemini_only,RQ-012,0.24489795918367344,0.11580446131941148,11.772760646001188
gemini_only,RQ-013,0.0746268656716418,0.06513614522156967,6.769151046999468
gemini_only,RQ-014,0.23841059602649006,0.24731695683281663,9.587181949000296
gemini_only,RQ-015,0.42201834862385323,0.32993954820235444,8.491957357000501
gemini_only,RQ-016,0.35789473684210527,0.2892401215805471,15.87390640599915
gemini_only,RQ-017,0.2582781456953642,0.21780349667569565,7.1850142020011845
gemini_only,RQ-018,0.29545454545454547,0.21974994702267428,8.22354434099907
gemini_only,RQ-019,0.19926199261992616,0.15149006622516556,7.190952980001384
gemini_only,RQ-020,0.5757575757575758,0.3388888888888889,26.088849701998697
gemini_only,RQ-021,0.27397260273972607,0.28598218471636194,13.919464712000263
gemini_only,RQ-022,0.4358974358974359,0.2455277280858676,6.776869725001234
gemini_only,RQ-023,0.5573770491803278,0.39934533551554824,11.141437743999631
gemini_only,RQ-024,0.08187134502923976,0.04796674904515838,9.089993272998981
gemini_only,RQ-025,0.30434782608695654,0.2627894453419494,10.100769706999927
vanilla_rag,RQ-001,0.6166666666666667,0.6128013777267509,13.272929505999855
vanilla_rag,RQ-002,0.7027027027027027,0.715336859048057,10.455002225000499
vanilla_rag,RQ-003,0.18483412322274884,0.2164695177434031,9.633738096999878
vanilla_rag,RQ-004,0.6280991735537189,0.585544889892716,8.203042830000413
vanilla_rag,RQ-005,0.43999999999999995,0.3367165242165242,10.044338091998725
vanilla_rag,RQ-006,0.032786885245901634,0.029397590361445784,8.407724517001043
vanilla_rag,RQ-007,0.18324607329842932,0.1934780453959758,8.975017868000577
vanilla_rag,RQ-008,0.27058823529411763,0.20520889853499727,9.13579720999951
vanilla_rag,RQ-009,0.4129032258064516,0.35073597056117756,42.43353458300044
vanilla_rag,RQ-010,0.17283950617283952,0.09768683274021353,10.48477525800081
vanilla_rag,RQ-011,0.03773584905660377,0.03413542249580302,14.330441862000953
